pl,Sex,new_i,old_i,new_c,old_c
1.9,Men,0.732954545454545,0.025094696969697,0.134943181818182,0.0388257575757576
1.9,Women,0.74910394265233,0.146953405017921,0.32078853046595,0.173835125448029
3.2,Men,0.831439393939394,0.142045454545455,0.446022727272727,0.214015151515152
3.2,Women,0.851254480286738,0.435483870967742,0.655913978494624,0.5
