Year,oda,ha
2010,7772.3832628772,201.7557094
2011,4905.382048971,1997.65271306
2012,4532.269839559,57.595022
2013,4502.976730951,119.995479
2014,4936.6557587733,54.67938986
2016,3264.60409532,162.227487
2015,2411.05868369,253.021589993
2017,6677.87176919227,206.24522
2019,7931.96503367493,498.06159797253
2018,5221.569229762,54.23506
