Year,total_oda
2010,16420.4588204477
2011,15982.3822811126
2012,15690.1866979758
2013,18979.499246934
2014,19867.2781711895
2015,21878.4714086218
2016,20615.0957139211
2017,21906.8812232336
2018,20759.422315584
2019,25370.9090916067
