Year,grants_oda,loans_oda
2010,5062.88036197576,11333.4135234719
2011,4517.82439971142,11453.9522017011
2012,4797.87377518151,10878.4931255942
2013,4857.72663948828,14104.3946128457
2014,4420.79049167764,15427.1730620119
2015,4693.5431776856,17163.9339969361
2016,4148.9810986671,16448.534485254
2017,3128.4579062772,18763.4962492863
2018,2342.39885673,18398.141360394
2019,3760.4162536398,21592.2975692467
