iso3,hazard_class,IndicatorScore,disb,Location,PopTotal,per_cap
TZA,High,5.1,16.47679153,United Republic of Tanzania,59734.213,0.275835081814839
UGA,Medium,4.4,35.62484541,Uganda,45741,0.778838359677314
UKR,Medium,3.2,2.06239701,Ukraine,43733.759,0.0471580092166329
UZB,High,5.2,1.674643646,Uzbekistan,33469.199,0.0500353667262847
VCT,Low,2.6,0.4468879,Saint Vincent and the Grenadines,110.947,4.02794036792342
VEN,High,6.1,2.190188265,Venezuela (Bolivarian Republic of),28435.943,0.0770218263906353
VNM,Very High,7.4,195.3225498973,Viet Nam,97338.583,2.00663029887439
VUT,High,5.6,0.67861368,Vanuatu,307.15,2.20938850724402
WSM,Medium,3.5,0.84906143,Samoa,198.41,4.27932780605816
YEM,Medium,4.3,6.222955625,Yemen,29825.968,0.208642201486973
ZAF,High,4.9,2.72896330121,South Africa,59308.69,0.0460128743563549
ZMB,Medium,3.5,1.65920085,Zambia,18383.956,0.090252655630812
ZWE,High,4.7,5.04116142,Zimbabwe,14862.927,0.339176894295451
