iso3,hazard_class,IndicatorScore,drr_2018,drr_2019,diff
SLV,High,6.5,7.255043062,8.696876741518,1.1987353716851
SOM,Very High,6.9,11.145682,60.05071841,5.38780116012641
SRB,Medium,4.5,10.38174201,14.172916961,1.36517714920562
SSD,Medium,4,6.49454752,27.33510373,4.2089312066501
STP,Low,1.3,0,0.379914074,Inf
SUR,Medium,3.9,1.972794,0.42044,0.213119058553503
SWZ,Low,2.5,0,0,
SYR,High,5.7,9.37032066,32.468090004,3.46499241403762
TCD,Medium,4.2,6.6998623,12.01754094,1.79369969141008
TGO,Medium,3,1.5096192,1.513811,1.00277672674009
THA,High,6.2,2.50415347,1.97256051,0.787715502916041
TJK,High,5.8,8.8799907,15.55837425,1.75207100723653
TKL,,,0.3070706,0.304388,0.991263898269649
TKM,Medium,3.7,0.0867456,1.1970523,13.7995736959569
TLS,Medium,4.6,8.19935148,9.7200961606,1.18547133688676
TON,High,5.2,11.69764012,9.36192556,0.800326002848513
TUN,Medium,4.4,25.577645,8.70650762,0.340395201356497
TUR,High,6.2,177.50408628,0.1917606,0.00108031653816415
TUV,Medium,3,1.08962,5.25778886,4.82534173381546
TZA,High,5.1,1.68843409,16.47679153,9.75862287286559
UGA,Medium,4.4,8.9714538,35.62484541,3.97091109246976
UKR,Medium,3.2,1.15917217,2.06239701,1.77919817553936
UZB,High,5.2,0.18921356,1.674643646,8.85054774087016
VCT,Low,2.6,3.18096732,0.4468879,0.140488051288751
VEN,High,6.1,0.50077102,2.190188265,4.37363221418045
VNM,Very High,7.4,73.35652517762,195.3225498973,2.66264724813997
VUT,High,5.6,5.37387557016,0.67861368,0.126280125235537
WLF,,,0.218931,0.256669,1.17237394430209
WSM,Medium,3.5,12.49598975,0.84906143,0.0679467130644854
XKX,,,0.08295398,0.599433706,7.22609941078174
YEM,Medium,4.3,8.994117,6.222955625,0.691891780482731
ZAF,High,4.9,2.51612657,2.72896330121,1.08458904005374
ZMB,Medium,3.5,19.186426042,1.65920085,0.0864778487857994
ZWE,High,4.7,9.76982729,5.04116142,0.515992890187519
