hazard_class,n,avg_country,avg_country_pc,avg_pc
High,48,12.1813631225464,6.66378243419841,0.457473008417755
Medium,63,8.11071211789524,10.4290800520198,0.398595652248281
Very High,12,63.0172931966583,1.24477237567572,0.198080714806727
Low,13,1.01337950261538,2.34161405765167,0.462544227775988
