year,expoor,fragile,expoor&fragile,covid,expoor&covid,covid&fragile,expoor&fragile&covid
2010,1107088720.48757,447622144.077918,447622144.077918,,,,
2020,732625393.656554,483866534.91033,483866534.91033,497841386.652708,497841386.652708,460944203.999163,460944203.999163
